product_name,platform,account_url,note,status
AstrologyWiki,TikTok,https://www.tiktok.com/@birthchart.com,"待调研，暂无分析",pending
AstrologyWiki,TikTok,https://www.tiktok.com/@angelic_oracle,"Oracle/tarot/astrology/Solana token 混合型，借产品化表达不借币圈叙事",done
AstrologyWiki,TikTok,https://www.tiktok.com/@costarastrology,"Co-Star 官方，后期 meme 化，借冷幽默短句钩子不借街采",done
AstrologyWiki,TikTok,https://www.tiktok.com/@thepattern,"The Pattern 官方，天象事件+心理关系落点，最适合借鉴的非真人品牌账号",done
AstrologyWiki,TikTok,https://www.tiktok.com/@astrowhispers8,"AI 视觉+星座人格痛点，借标题抓力不借绝对化",done
AstrologyWiki,TikTok,https://www.tiktok.com/@maxcartexofficial,"AI podcast/talking-head，固定男主播，listicle 钩子",done
AstrologyWiki,TikTok,https://www.tiktok.com/@promentalityx,"AI podcast 心理向，最适合借鉴的可信 AI 播客形式",done
AstrologyWiki,TikTok,https://www.tiktok.com/@terryhales1,"AI 老年播客人设，情绪冲突钩子，避免脏话和无据排名",done
AstrologyWiki,TikTok,https://www.tiktok.com/@sanctuarywrld,"年轻化，日常情绪陪伴，轻 CTA",done
AstrologyWiki,TikTok,https://www.tiktok.com/@chani.app,"成熟品牌，内容栏目化，中期参考",done
AstrologyWiki,TikTok,https://www.tiktok.com/@moonomens,"神秘/宇宙/月相视觉参考",done
AstrologyWiki,TikTok,https://www.tiktok.com/@alizakelly,"名人星盘+流行文化钩子",done
AstrologyWiki,TikTok,https://www.tiktok.com/@marenaltman,"强观点/预测型，保守使用避免绝对预测",done
AstrologyWiki,TikTok,https://www.tiktok.com/@shawtyherbs,"星盘冷知识/小技巧，截图传播，选题库重要来源",done
AstrologyWiki,TikTok,https://www.tiktok.com/@astrologybro,"榜单/刻板印象，评论互动",done
AstrologyWiki,TikTok,https://www.tiktok.com/@astrotwins,"老牌栏目化，love/career/money 分主题，中期参考",done
AstrologyWiki,X,https://x.com/satyastrology,"传统占星，transit 高频帖+提问转化，X 平台参考",done
AstrologyWiki,Instagram,https://www.instagram.com/astrology.mn/,"蒙古语视觉内容，图片优先卡片结构参考",done
